City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Hithadhoo,MV,-0.6,73.08,83.89,69,33,4.03,light rain
158,Padang,ID,-0.95,100.35,78.64,77,100,3.0,overcast clouds
159,Ahipara,NZ,-35.17,173.17,60.01,94,17,5.61,few clouds
160,Caraballeda,VE,10.61,-66.85,75.99,71,4,9.19,clear sky
161,Acarau,BR,-2.89,-40.12,89.22,50,63,21.16,broken clouds
162,Qom,IR,34.64,50.88,56.08,34,99,0.81,overcast clouds
163,Gazli,UZ,40.13,63.45,52.39,41,23,5.06,few clouds
164,Mar Del Plata,AR,-38.0,-57.56,75.2,47,40,5.82,scattered clouds
165,Gambela,ET,8.25,34.58,78.31,75,99,3.49,overcast clouds
166,Karatau,KZ,43.17,70.47,42.19,56,0,3.98,clear sky
167,Hermanus,ZA,-34.42,19.23,63.0,72,100,4.0,overcast clouds
168,San Severo,IT,41.69,15.38,64.4,68,75,11.41,broken clouds
169,Te Anau,NZ,-45.42,167.72,39.78,87,4,1.72,clear sky
170,Wejherowo,PL,54.61,18.24,52.0,87,90,17.22,overcast clouds
171,Makakilo City,US,21.35,-158.09,77.0,88,1,8.81,clear sky
172,Dikson,RU,73.51,80.55,-3.32,89,25,5.35,scattered clouds
173,Ilo,PE,-17.64,-71.34,66.2,72,90,8.05,overcast clouds
174,Dinghai,CN,26.28,119.79,69.8,83,75,15.66,broken clouds
175,Namibe,AO,-15.2,12.15,77.0,69,20,12.75,few clouds
176,Kodiak,US,57.79,-152.41,35.6,80,1,8.05,clear sky
177,Coquimbo,CL,-29.95,-71.34,57.2,82,90,6.93,overcast clouds
178,Yulara,AU,-25.24,130.99,71.6,23,0,5.82,clear sky
179,Celestun,MX,20.87,-90.4,82.18,73,82,14.83,broken clouds
180,Bowen,AU,-20.02,148.23,75.2,83,75,3.36,broken clouds
181,Wanaka,NZ,-44.7,169.15,41.11,67,0,4.72,clear sky
182,Sinop,TR,41.77,34.87,59.0,72,75,11.41,broken clouds
